,Track 1,Track 2,Track 3,Track 4,Track 5,Track 6,Track 7,Track 8,Track 9,Track 10,Track 11,Track 12,Track 13,Track 14,Track 15,Track 16,Track 17,Track 18,Track 19,Track 20,Track21,Track 22,Track 23,Track 24,Track 25,SpecLabel,GenLabel
1112.5,1820000,699000,1770,0.0387,2.59E-18,0,0.0277,44000,1250,105,0,35,0.0111,0,9380,0.176,121,0.699,0.977,0.000682,179,28.3,2.74,4,3.69,0,0
1127.8,1750000,691000,0,0,0,0,0.0188,46100,881,92.5,117,0,0.0155,0,5870,0.113,68.5,0.687,0,0.000613,248,138,1.48,4,0.509,0,0
1143,3840000,800000,0,0,0,3,0.0147,334000,5000,124,264,299,0.00739,0.635,16700,0.0476,123,0.673,0.833,0.000911,10.6,73.6,0.367,4,0.565,0,0
1158.2,4100000,813000,457,0.00126,4.04E-05,2,0.0138,361000,5060,116,296,0,0.00335,0,34400,0.0868,221,0.694,0,0.000526,215,55.3,0.61,4,0.761,0,0
1173.5,3660000,743000,0,0,3.76E-05,3,0.0163,212000,3510,185,212,113,0.00364,0.786,50700,0.193,248,0.708,0.964,0.000587,48.9,0,1.17,4,0.643,0,0
1188.7,3490000,906000,1390,0.00609,0.00012,0,0.0154,227000,3560,265,167,150,0.00493,0.688,53500,0.191,662,0.704,0.982,0.000625,204,0,2.91,9,0.635,0,0
1204,3310000,736000,0,0,0.000103,0,0.0113,403000,4590,148,325,70,0.00667,0.902,22100,0.052,156,0.647,0.964,0.0012,0,241,0.386,4,0.654,0,0
1219.2,3760000,862000,3100,0.0146,2.7E-05,0,0.0152,209000,3240,238,14.8,37,0.00378,0.442,62800,0.231,791,0.688,0.996,0.00123,158,0,3.76,9,0.597,0,0
1234.4,2960000,932000,0,0,5.7E-05,0,0.0131,187000,2500,146,280,197,0.00386,0.738,37700,0.168,354,0.688,0.956,0.000912,10.6,168,1.89,9,0.982,0,0
1249.7,3040000,851000,0,0,7.41E-06,0,0.0129,214000,2800,196,261,300,0.00731,0.633,26600,0.11,185,0.653,0.883,0.00194,193,147,0.863,4,0.453,0,0
1280.2,4040000,715000,0,0,2.38E-05,3,0.0104,422000,4450,184,164,0,0.00482,0,38000,0.0825,622,0.692,0,0.00124,152,80.6,1.47,4,0.855,0,0
1295.4,6070000,899000,0,0,0.000188,3,0.0106,537000,5760,229,435,391,0.0031,0.689,73600,0.121,431,0.692,0.931,0.000964,171,95,0.802,10,0.691,1,1
1310.6,3500000,690000,0,0,6.01E-05,0,0.0098,457000,4520,134,317,91.2,0.00772,0.874,17200,0.0363,300,0.69,0.976,0.0013,37.8,43.7,0.655,4,0.934,0,0
1325.9,3360000,791000,0,0,4.04E-05,3,0.00941,239000,2270,255,429,47.5,0.0158,0.947,15900,0.0624,222,0.676,0.983,0.00134,267,0,0.93,4,0.674,0,0
1334.4,126000000,962000,4050,0.0426,2.2E-05,1,0.0169,91000,1560,106,80.5,335,0.0285,0.395,3600,0.0381,199,0.745,0.901,0.00295,0,1.63,2.19,4,0,0,0
1335.3,1920000000,627000,25000,0.238,3.49E-18,4,0.0232,80100,1900,105,53.1,54.2,0.0342,0.727,2970,0.0358,68.1,0.84,0.95,0.0021,281,0,0.849,4,0,0,0
1335.6,202000000,964000,28200,0.254,3.73E-05,3,0.0242,82900,2050,148,85.1,0,0.0166,0,8760,0.0956,68.8,0.75,0,0.00299,6.72,92.2,0.829,4,7.4,0,0
1341.1,2750000,731000,0,0,2.62E-18,3,0.0136,115000,1580,145,233,0,0.00847,0,16900,0.129,237,0.665,0,0.00109,162,94.5,2.06,4,1.54,0,0
1356.4,3640000,773000,0,0,5.61E-05,0,0.0131,160000,2130,151,156,57.6,0.00798,0.844,18800,0.105,204,0.661,0.978,0.000179,236,187,1.27,4,2.04,0,0
1371.6,3280000,771000,3840,0.0236,1.82E-05,0,0.0194,159000,3140,251,306,535,0.00522,0.535,47800,0.231,430,0.668,0.908,0.00168,0,136,2.7,4,0.763,0,0
1386.8,3050000,818000,0,0,2.37E-05,0,0.0179,125000,2270,107,203,237,0.00821,0.633,12900,0.0935,156,0.643,0.89,0.00331,35.3,58.9,1.25,4,3.95,0,0
1402.1,2630000,806000,7620,0.0378,3.43E-05,0,0.0156,194000,3070,51.7,374,326,0.00561,0.697,9160,0.0451,229,0.616,0.897,0.00449,35.7,0,1.18,4,1.2,0,0
1417.3,2740000,831000,149,0.00154,2.86E-18,2,0.0148,96600,1450,59,416,526,0.0092,0.614,6360,0.0617,118,0.698,0.735,0.00312,509,101,1.22,4,0,0,0
1432.6,3380000,695000,2270,0.0191,3.42E-18,3,0.0155,117000,1840,294,170,0,0.0138,0,21000,0.152,245,0.67,0,0.000319,257,147,2.09,4,0.968,0,0
1447.8,4730000,1490000,0,0,1.92E-05,0,0.0347,88600,3190,206,344,302,0.00443,0.697,46100,0.343,363,0.683,0.937,0.00191,402,0,4.08,5,0.48,0,0
1478.3,2830000,767000,5150,0.089,1.35E-18,4,0.0241,52700,1300,198,156,1.41,0.0354,0.996,5390,0.0927,209,0.653,1,0.00305,0,44,3.95,4,0,0,0
