,Track 1,Track 2,Track 3,Track 4,Track 5,Track 6,Track 7,Track 8,Track 9,Track 10,Track 11,Track 12,Track 13,Track 14,Track 15,Track 16,Track 17,Track 18,Track 19,Track 20,Track21,Track 22,Track 23,Track 24,Track 25,SpecLabel,GenLabel
3575,3490000,1220000,488,0.00202,1.82E-18,1,0.0126,242000,3070,393,165,0,0.293,0,946,0.0039,0,0.944,0,0,0,279,0,4,0,1,1
3580,3060000,1240000,0,0,4.78E-05,0,0.0159,183000,2940,179,0,0,0.193,0,749,0.00408,192,0,0,0.014,167,206,1.05,4,11.6,0,1
3585,3370000,1340000,364,0.00188,1.85E-18,0,0.0168,193000,3300,202,22.9,0,0.176,0,947,0.00489,165,0.544,0,0,302,40.1,0.855,4,6.39,0,1
3590,12100000,1220000,49200,0.378,0,4,0.024,81000,1990,8.73,0,0,0.00643,0,1350,0.0164,116,0.834,0,0.0332,49.9,171,1.43,4,7.19,0,1
3595,13400000,1020000,1230,0.00626,3.54E-18,0,0.0151,195000,2980,223,22.6,0,0.235,0,728,0.00372,165,1,0,0.037,290,268,0.846,4,44.5,0,1
3600,2640000,454000,0,0,8.12E-18,0,0.00879,65500,581,37.5,103,0,0.0888,0,385,0.00584,0,1,0,0.0259,349,121,0,4,0,0,1
3605,3000000,395000,527,0.00564,8.07E-18,0,0.00873,92900,818,0,0,0,0,0,86.8,0.000934,104,0.92,0,0,129,20.7,1.11,4,0,0,1
3610,4460000,477000,0,0,8.93E-18,0,0.00674,56100,381,63.8,260,1940,0.189,0.421,273,0.00485,10.3,1,0.0938,0,0,54.8,0.183,4,0,0,1
3615,1170000,416000,9.55E-11,1.35E-15,7.22E-18,0,0.00455,70700,323,11.5,115,994,0.0329,0.385,337,0.00475,287,1,0.849,0,164,66.7,4.04,4,0,0,1
3620,2140000,417000,0,0,6.67E-18,0,0.00919,62500,579,125,0,139,0,0,0,0,0,0,0,0,78.5,58.4,0,4,0,0,1
3625,11000000,266000,57000,0.695,7.13E-05,4,0.0021,25000,52.7,124,0,0,0.458,0,146,0.0058,189,1,0,0.844,0,83.4,7.48,9,0,0,1
3630,1120000,417000,1680,0.0346,7.47E-18,0,0.0102,47000,485,19.9,39.5,824,0,0.207,0,0,31.4,0,0.429,0,264,41.1,0.668,4,0,0,1
3635,1510000,425000,27.2,0.000252,8.17E-05,1,0.00409,108000,443,120,77,1930,0.807,0.179,28.8,0.000267,146,1,0.599,0,0,245,1.35,4,0,0,1
3640,6330000,484000,1190,0.0168,7.3E-18,1,6.64E-06,69600,0.462,191,127,0,0.397,0,290,0.00414,0,1,0,0,437,148,0,4,0,0,1
3645,984000,356000,1780,0.0481,0,1,0.00117,35300,41.3,75,202,0,0,0,0,0,257,0,0,0,0,121,7.21,4,1.73,0,1
3650,2180000,351000,0,0,0,4,0.0162,44600,736,29.1,227,1390,0,0.472,0,0,0,0,0,0,0,50.7,0,4,2.22,0,1
3655,3230000,385000,0,0,5.71E-18,5,0.00271,67000,182,122,0,0,1,0,9.46E-12,1.41E-16,112,0.302,0,0,1320,83.1,1.66,4,0,0,1
3660,29500000,352000,151000,0.78,0.000124,4,0.0401,42800,1780,110,202,0,0.698,0,47.7,0.00112,113,0.517,0,0.347,56.2,78.9,2.64,4,9.13,0,1
3665,27700000,286000,0,0,2.23E-05,0,0,51400,0,2.08,18.8,166,0,0.385,0,0,0,0,0,0,227,99.9,0,4,0,0,0
3670,931000,294000,0,0,8.19E-18,0,0,36900,0,32.6,0,11800,0.222,0,115,0.00309,0,1,0,0,167,18.8,0,9,0,0,0
3675,769000,214000,1360,0.037,3.63E-05,0,0,35200,0,0,0,0,0,0,9.56E-12,2.71E-16,0,5.83E-14,0,0,34,136,0,4,0,0,0
3680,12900000,258000,0,0,9.95E-18,2,0,37400,0,0,0,938,0,0,9.58E-12,2.56E-16,104,0.303,0.691,0,0,57,2.77,4,0,0,0
